Date,Open,High,Low,Close,Volume,Adj Close
2004-11-01,79.00,79.50,76.82,79.15,3330500,38.88
2004-10-28,79.62,81.95,76.62,80.05,11221900,39.32
2004-10-27,78.00,79.30,77.00,78.80,3729700,38.71
2004-10-26,75.97,77.62,75.57,77.43,5463500,38.03
2004-10-25,74.95,76.50,74.00,75.32,4455000,37.00
2004-10-21,75.00,75.32,74.10,74.60,919800,36.65
2004-10-20,76.00,76.50,74.30,74.78,1938400,36.73
2004-10-19,74.45,75.95,73.90,75.68,3092300,37.17
2004-10-18,75.55,76.90,73.55,73.88,2230500,36.29
2004-10-14,76.25,76.90,73.55,74.12,2413300,36.41
2004-10-12,78.68,78.75,75.55,76.00,4089100,37.33
2004-10-11,77.50,79.75,77.25,78.40,5282800,38.51
2004-10-07,75.50,78.60,75.28,77.32,11396100,37.98
2004-10-06,74.50,76.47,74.00,74.50,6371500,36.60
2004-10-05,72.50,74.75,72.25,74.47,3743800,36.58
2004-10-04,72.03,73.22,72.00,72.18,2927300,35.46
2004-10-01,73.00,73.43,70.90,71.50,3214200,35.12
2004-09-30,70.60,73.75,70.38,73.15,5222700,35.93
2004-09-29,71.00,71.00,69.88,70.28,4771700,34.52
2004-09-28,73.50,73.50,70.05,70.85,4925600,34.80
2004-09-27,74.30,74.60,71.75,72.53,4006200,35.63
2004-09-24,71.75,75.00,71.75,74.80,2971700,36.74
2004-09-23,74.70,74.90,73.50,73.95,4445200,36.33
2004-09-22,75.25,75.85,74.00,75.03,4825900,36.86
2004-09-21,74.00,75.25,73.75,74.88,3870900,36.78
2004-09-20,74.90,75.38,72.32,74.03,5775400,36.36
2004-09-17,73.00,75.00,72.80,74.60,7286600,36.65
2004-09-16,73.00,73.38,71.25,72.75,4677700,35.74
2004-09-15,73.25,74.75,70.57,71.68,8558200,35.21
2004-09-14,70.00,73.45,69.12,73.18,11960600,35.95
2004-09-13,69.72,70.90,68.20,69.93,5821200,34.35
2004-09-09,68.78,68.88,65.43,66.43,6779100,32.63
2004-09-08,67.65,68.50,66.88,68.22,5744300,33.51
2004-09-07,67.82,68.15,66.60,66.95,3792000,32.89
2004-09-06,68.00,68.62,67.32,67.55,3386800,33.18
2004-09-03,68.25,68.50,67.00,67.20,5129500,33.01
2004-09-02,68.75,69.25,68.00,68.22,3430600,33.51
2004-09-01,70.00,70.15,68.18,68.53,4088600,33.66
2004-08-31,68.50,70.22,68.45,69.95,6511800,34.36
2004-08-30,70.25,70.25,67.80,68.03,7942400,33.42
2004-08-27,68.70,70.00,68.43,69.95,6874100,34.36
2004-08-26,69.00,71.07,68.00,68.32,17632900,33.56
2004-08-25,72.50,72.50,67.57,68.38,9710500,33.59
2004-08-24,69.95,70.75,67.32,67.75,12690800,33.28
2004-08-23,71.00,71.95,69.25,69.80,5803700,34.29
2004-08-20,72.00,72.90,70.20,71.32,8615100,35.04
2004-08-19,69.75,73.18,67.80,72.68,18229200,35.70
2004-08-18,75.50,75.50,69.32,70.70,16016900,34.73
2004-08-17,75.50,76.60,75.07,75.53,3997400,37.10
2004-08-16,75.12,76.82,74.30,75.15,7471800,36.92
2004-08-13,78.50,79.00,73.60,75.35,17043700,37.01
2004-08-11,78.70,79.85,78.10,78.65,8275100,38.64
2004-08-10,76.50,79.20,76.30,78.75,11469400,38.68
2004-08-09,74.90,76.35,74.60,76.07,4560900,37.37
2004-08-06,76.00,76.00,74.00,74.50,4168800,36.60
2004-08-05,75.50,75.85,73.62,75.20,5682300,36.94
2004-08-04,75.30,76.93,74.75,75.30,4154000,36.99
2004-08-03,75.88,75.88,74.55,75.03,2995100,36.86
2004-08-02,76.05,76.50,74.35,75.68,3243500,37.17
2004-07-30,75.88,76.68,74.65,76.18,5713000,37.42
2004-07-29,75.50,75.50,72.50,74.72,6313300,36.71
2004-07-28,74.97,75.72,74.55,74.93,4744700,36.81
2004-07-26,74.50,77.32,74.50,75.38,10787900,37.03
2004-07-23,82.78,85.38,71.50,76.15,27937200,37.41
2004-07-22,80.50,83.25,79.50,82.28,10719400,40.42
2004-07-21,78.65,80.12,77.50,78.80,7523800,38.71
2004-07-20,75.88,78.38,75.60,77.68,5267200,38.16
2004-07-19,75.75,77.88,74.05,75.88,4861500,37.27
2004-07-16,74.95,75.62,74.05,75.03,4081100,36.86
2004-07-15,73.50,75.72,73.30,75.10,3657300,36.89
2004-07-14,76.95,84.00,74.05,74.85,4887700,36.77
2004-07-13,77.00,78.68,75.15,75.97,5343200,37.32
2004-07-12,77.00,78.70,66.50,77.47,8432600,38.06
2004-07-09,75.00,79.85,71.50,79.03,12678500,38.82
2004-07-08,73.00,82.65,71.10,74.32,26007500,36.51
2004-07-07,75.00,75.75,72.25,72.75,5708100,35.74
2004-07-06,73.95,75.22,72.70,74.70,5646700,36.70
2004-07-05,72.35,74.25,71.80,73.82,6291200,36.27
2004-07-02,70.00,72.47,68.75,71.82,8028300,35.28
2004-07-01,69.00,69.97,67.70,69.70,3674800,34.24
2004-06-30,68.93,70.88,67.55,68.28,5494500,33.54
2004-06-29,68.95,69.25,67.25,68.85,4192500,33.82
2004-06-28,67.28,69.28,66.53,68.50,5012900,33.65
2004-06-25,63.72,67.00,62.67,66.82,6369400,32.83
2004-06-24,65.90,65.90,61.95,63.08,7796000,30.98
2004-06-23,66.85,66.85,64.18,65.18,4208200,32.02
2004-06-22,66.35,67.50,65.50,66.25,6631100,32.54
2004-06-21,68.20,68.20,64.90,65.38,3833700,32.11
2004-06-18,68.10,68.97,67.50,67.80,5190400,33.31
2004-06-17,68.20,68.45,67.00,67.65,3839800,33.23
2004-06-16,69.80,69.80,67.55,68.05,3755900,33.43
2004-06-15,69.75,70.85,68.28,68.70,4701600,33.75
2004-06-14,69.95,70.40,66.18,69.32,7826700,34.06
2004-06-11,74.85,74.93,70.60,71.00,6085900,34.88
2004-06-10,73.85,75.50,72.57,74.93,7950500,36.81
2004-06-09,73.90,75.18,72.25,74.72,7809800,36.71
2004-06-08,71.70,74.00,70.88,73.22,10719500,35.97
2004-06-07,67.93,71.00,66.57,70.25,6953400,34.51
2004-06-04,67.25,68.43,63.75,66.35,7965500,32.59
2004-06-03,71.95,72.40,67.10,68.78,6391000,33.78
2004-06-02,70.50,71.62,69.40,70.55,5592300,34.66
2004-06-01,70.10,72.25,68.82,69.22,6258600,34.01
2004-05-31,72.60,72.95,68.32,69.22,6100000,34.01
